link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type_name,link_type,cost,geometry,macro_node_id,macro_link_id,meso_link_id,cell_type,additional_cost,mvmt_txt_id
27986,12128,12328,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1022701 33.6399881, -112.1021944 33.6399571)",,22,21,2,0,
28185,12129,11931,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1021947 33.6399887, -112.1021195 33.6400207)",,22,21,2,0,
27789,12129,12130,,1,7,1,1800,60,,1,,"LINESTRING (-112.1021947 33.6399887, -112.1021192 33.6399892)",,22,21,1,0,
27987,12129,12329,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1021947 33.6399887, -112.1021189 33.6399576)",,22,21,2,0,
28186,12130,11932,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1021192 33.6399892, -112.1020441 33.6400213)",,22,21,2,0,
27790,12130,12131,,1,7,1,1800,60,,1,,"LINESTRING (-112.1021192 33.6399892, -112.1020438 33.6399897)",,22,21,1,0,
27988,12130,12330,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1021192 33.6399892, -112.1020434 33.6399581)",,22,21,2,0,
28187,12131,11933,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1020438 33.6399897, -112.1019686 33.6400218)",,22,21,2,0,
27791,12131,12132,,1,7,1,1800,60,,1,,"LINESTRING (-112.1020438 33.6399897, -112.1019683 33.6399902)",,22,21,1,0,
27989,12131,12331,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1020438 33.6399897, -112.1019680 33.6399587)",,22,21,2,0,
28188,12132,11934,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1019683 33.6399902, -112.1018932 33.6400223)",,22,21,2,0,
27792,12132,12133,,1,7,1,1800,60,,1,,"LINESTRING (-112.1019683 33.6399902, -112.1018928 33.6399907)",,22,21,1,0,
27990,12132,12332,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1019683 33.6399902, -112.1018925 33.6399592)",,22,21,2,0,
28189,12133,11935,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1018928 33.6399907, -112.1018177 33.6400228)",,22,21,2,0,
27793,12133,12134,,1,7,1,1800,60,,1,,"LINESTRING (-112.1018928 33.6399907, -112.1018174 33.6399913)",,22,21,1,0,
27991,12133,12333,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1018928 33.6399907, -112.1018171 33.6399597)",,22,21,2,0,
28190,12134,11936,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1018174 33.6399913, -112.1017422 33.6400234)",,22,21,2,0,
27794,12134,12135,,1,7,1,1800,60,,1,,"LINESTRING (-112.1018174 33.6399913, -112.1017419 33.6399918)",,22,21,1,0,
27992,12134,12334,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1018174 33.6399913, -112.1017416 33.6399602)",,22,21,2,0,
28191,12135,11937,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1017419 33.6399918, -112.1016668 33.6400239)",,22,21,2,0,
27795,12135,12136,,1,7,1,1800,60,,1,,"LINESTRING (-112.1017419 33.6399918, -112.1016665 33.6399923)",,22,21,1,0,
27993,12135,12335,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1017419 33.6399918, -112.1016661 33.6399608)",,22,21,2,0,
28192,12136,11938,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1016665 33.6399923, -112.1015913 33.6400244)",,22,21,2,0,
27796,12136,12137,,1,7,1,1800,60,,1,,"LINESTRING (-112.1016665 33.6399923, -112.1015910 33.6399928)",,22,21,1,0,
27994,12136,12336,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1016665 33.6399923, -112.1015907 33.6399613)",,22,21,2,0,
28193,12137,11939,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1015910 33.6399928, -112.1015159 33.6400249)",,22,21,2,0,
27797,12137,12138,,1,7,1,1800,60,,1,,"LINESTRING (-112.1015910 33.6399928, -112.1015155 33.6399934)",,22,21,1,0,
27995,12137,12337,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1015910 33.6399928, -112.1015152 33.6399618)",,22,21,2,0,
28194,12138,11940,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1015155 33.6399934, -112.1014404 33.6400255)",,22,21,2,0,
27798,12138,12139,,1,7,1,1800,60,,1,,"LINESTRING (-112.1015155 33.6399934, -112.1014401 33.6399939)",,22,21,1,0,
27996,12138,12338,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1015155 33.6399934, -112.1014398 33.6399623)",,22,21,2,0,
28195,12139,11941,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1014401 33.6399939, -112.1013649 33.6400260)",,22,21,2,0,
27799,12139,12140,,1,7,1,1800,60,,1,,"LINESTRING (-112.1014401 33.6399939, -112.1013646 33.6399944)",,22,21,1,0,
27997,12139,12339,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1014401 33.6399939, -112.1013643 33.6399628)",,22,21,2,0,
28196,12140,11942,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1013646 33.6399944, -112.1012895 33.6400265)",,22,21,2,0,
